NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_00537	0	0	7.376334	5.988999
HaLaN_00544	0	0	5.817597	7.710117
HaLaN_00546	219.155731	244.990021	287.898895	323.532623
HaLaN_00551	3229.198242	4802.469238	8806.933594	11252.012695
HaLaN_00552	0	0	33.813351	35.582649
HaLaN_00554	0	0	23.084	32.641628
HaLaN_00555	0	0	101.83831	73.600372
HaLaN_00556	0	0	76.219055	70.19545
HaLaN_00558	0	0	9.787615	13.1202
HaLaN_00559	0	0	12.827817	1.834139
HaLaN_00561	0	0	63.811012	68.766953
HaLaN_00562	130.601883	94.643303	112.104347	93.13208
HaLaN_00565	0	0	46.427654	95.648041
HaLaN_00567	29.309746	109.784195	73.510986	97.095245
HaLaN_00568	0	0	13.970936	10.564813
HaLaN_00570	0	0	4.623681	7.873427
HaLaN_00571	117.462288	84.716347	199.203583	146.421616
HaLaN_00573	0	0	152.931259	112.947365
HaLaN_00574	1189.071045	1449.215454	1131.777588	1110.491455
HaLaN_00575	273.827759	147.867035	180.026581	139.829605
HaLaN_00578	0	0	15.022554	13.539736
HaLaN_00585	0	0	3.144159	2.317505
HaLaN_00587	0	0	13.197019	20.27886
HaLaN_00588	0	0	1.758497	5.60557
HaLaN_00594	438.513824	648.616272	298.95224	260.057922
HaLaN_00595	0	0	29.883835	32.934868
HaLaN_00596	0	0	73.390968	91.279213
HaLaN_00597	0	0	11.954304	10.424376
HaLaN_00599	0	0	21.620424	26.861088
HaLaN_00612	0	0	5.079955	12.156761
HaLaN_00614	0	0	13.716179	14.085698
HaLaN_00620	0	0	25.857597	36.486549
HaLaN_00621	0	0	7.059047	7.523921
HaLaN_00627	22.072754	11.606664	6.411325	16.088932
HaLaN_00628	113.938148	139.637482	105.821121	83.053528
HaLaN_00629	46.951656	129.012024	43.3246	38.630993
HaLaN_00632	0	0	2.221396	2.223065
HaLaN_00647	0	0	4.494148	5.510542
HaLaN_00648	0	0	1.378919	3.483411
HaLaN_00660	0	0	9.381416	6.133933
HaLaN_00668	0	0	2.699441	4.266012
HaLaN_00674	0	0	8.251262	10.945718
HaLaN_00684	29.641371	26.178625	0	0
HaLaN_00692	0	0	14.947483	21.310108
HaLaN_00693	0	0	6.824261	6.283793
HaLaN_00694	0	0	2.795209	4.502948
HaLaN_00701	0	0	88.248245	51.287498
HaLaN_00703	38.252384	44.267651	93.718895	78.890732
HaLaN_00704	137.606354	118.944168	140.642715	191.779968
HaLaN_00708	0	0	43.667679	34.137753
HaLaN_00709	0	0	25.267721	21.704838
HaLaN_00710	0	0	16.532389	11.332167
HaLaN_00712	0	0	5.092312	9.915288
HaLaN_00718	3.068786	8.32335	4.118204	6.635567
HaLaN_00719	110.413406	87.183655	76.332329	76.67099
HaLaN_00721	0	0	120.59967	107.757263
HaLaN_00733	0	0	3.105257	4.894659
HaLaN_00743	376.046173	266.896362	232.96347	252.956161
HaLaN_00749	0	0	8.896649	16.865192
HaLaN_00752	0	0	31.454628	37.534523
HaLaN_00753	0	0	54.736435	63.27673
HaLaN_00754	0	0	50.683796	32.994976
HaLaN_00755	106.163574	47.761688	54.842403	47.601158
HaLaN_00756	0	0	39.75029	26.807066
HaLaN_00757	134.572235	95.769463	3.887045	4.195483
HaLaN_00759	0	0	27.474201	38.005371
HaLaN_00760	0	0	8.204452	12.779226
HaLaN_00761	429.153992	323.526581	85.965042	113.968964
HaLaN_00770	0	0	553.880615	450.450653
HaLaN_00778	3.980925	1.83805	5.622572	5.272683
HaLaN_00783	0	0	162.288315	152.697296
HaLaN_00786	0	0	4.148985	4.060311
HaLaN_00792	0	0	20.567312	16.5884
HaLaN_00795	0	0	6.210456	7.595547
HaLaN_00797	0	0	13.976861	21.23818
HaLaN_00798	0	0	7.624163	3.456765
HaLaN_00804	0	0	110.368034	100.496529
HaLaN_00807	0	0	5.699465	5.446368
HaLaN_00812	0	0	68.93	120.540924
HaLaN_00813	0	0	22.512758	46.854904
HaLaN_00814	0	0	54.742065	67.638023
HaLaN_00819	655.605896	657.15741	766.759399	672.219666
HaLaN_00820	0	0	91.758255	95.089767
HaLaN_00824	0	0	7.988866	17.147093
HaLaN_00830	0	0	16.535479	28.109545
HaLaN_00838	0	0	10.701404	23.531353
HaLaN_00839	0	0	37.278046	30.945049
HaLaN_00844	0	0	103.53891	92.105347
HaLaN_00847	330.402832	322.5047	321.104919	310.02356
HaLaN_00849	0	0	12.312254	10.706872
HaLaN_00851	67.038254	58.098064	96.272942	73.130829
HaLaN_00852	42.623207	47.353783	147.295868	112.511078
HaLaN_00855	4825.412109	3068.436768	3442.099854	3466.21875
HaLaN_00856	0	0	20.382521	11.625641
HaLaN_00857	0	0	130.385818	121.051163
HaLaN_00861	0	0	9.590781	13.767096
HaLaN_00862	0	0	3.132271	6.587838
HaLaN_00872	182.222687	269.113312	613.942688	432.926086
HaLaN_00873	358.856354	455.731659	41.674286	44.173958
HaLaN_00880	131.049988	278.354889	225.677475	246.207306
HaLaN_00883	0	0	2.334157	2.235895
HaLaN_00884	111.686218	195.500534	170.120377	157.936188
HaLaN_00885	0	0	30.5369	28.776739
HaLaN_00893	29.194351	44.419174	25.770731	31.542267
HaLaN_00894	0	0	15.722341	13.083353
HaLaN_00895	0	0	24.810972	21.547146
HaLaN_00896	41.083939	55.487305	48.81699	47.230488
HaLaN_00901	0	0	34.980576	56.265991
HaLaN_00904	53.420692	123.976318	77.380348	56.089886
HaLaN_00905	0	0	9.15951	15.875189
HaLaN_00908	0	0	83.548492	50.057579
HaLaN_00910	27.067518	30.936815	17.894949	16.983841
HaLaN_00911	0	0	7.178178	13.130997
HaLaN_00916	0	0	26.466341	26.012476
HaLaN_00920	0	0	1.332694	11.19827
HaLaN_00924	0	0	3.621521	4.831133
HaLaN_00939	0	0	5.212686	1.487926
HaLaN_00942	0	0	2.641851	2.124399
HaLaN_00945	0	0	40.508858	35.488968
HaLaN_00946	0	0	51.119953	56.790138
HaLaN_00949	0	0	68.670479	55.94746
HaLaN_00951	30.037245	23.365381	17.896889	18.932295
HaLaN_00955	0	0	47.02557	61.584454
HaLaN_00961	0	0	43.823387	42.784763
HaLaN_00965	324.990723	223.462067	262.878143	177.126541
HaLaN_00967	0	0	8.033076	13.450593
HaLaN_00968	0	0	7.189417	7.483358
HaLaN_00975	0	0	47.293175	36.948177
HaLaN_00982	0	0	0.324544	1.536481
HaLaN_01002	0	0	5.739258	14.214051
HaLaN_01017	0	0	20.577017	17.895897
HaLaN_01023	0	0	4.908611	8.768279
HaLaN_01027	0	0	1.244234	3.135269
HaLaN_01031	84.10791	116.367485	88.328262	77.061935
HaLaN_01033	867.894104	917.576416	663.009033	657.708374
HaLaN_01034	469.301208	249.999512	334.368317	219.800964
HaLaN_01035	50.78529	30.462198	53.617813	39.30946
HaLaN_01038	0	0	18.965799	16.338408
HaLaN_01040	0	0	7.069948	10.853955
HaLaN_01043	0	0	21.495222	19.935427
HaLaN_01048	202.08519	76.822372	126.462646	128.222885
HaLaN_01053	231.64711	384.624817	270.572357	257.361603
HaLaN_01059	0	0	17.736631	10.726603
HaLaN_01061	0	0	4.853091	7.051966
HaLaN_01062	0	0	7.620259	15.559867
HaLaN_01068	86.783157	95.789978	99.060333	80.874725
HaLaN_01070	0	0	6.167913	8.949028
HaLaN_01072	0	0	9.476219	24.055084
HaLaN_01073	0	0	8.574394	9.702782
HaLaN_01074	0	0	16.046513	26.476625
HaLaN_01075	109.458672	113.306557	7.825417	5.446476
HaLaN_01084	0	0	8.813304	8.425958
HaLaN_01086	0	0	0.707927	1.046595
HaLaN_01090	0	0	11.453287	16.89633
HaLaN_01091	0	0	9.795361	9.702901
HaLaN_01092	0	0	10.127845	25.660488
HaLaN_01103	37.821484	43.984417	40.319336	41.694855
