Gene	NO3_2mM_1	NO3_2mM_2	NO3_15mM_1	NO3_15mM_2
HaLaN_00256	0	0	21.120148	26.434927
HaLaN_00258	0	0	10.167956	0
HaLaN_00260	30.870544	32.226894	12.123557	9.820413
HaLaN_00261	1073.033203	957.191101	666.316101	467.236542
HaLaN_00262	667.803711	1132.432129	726.158264	601.695007
HaLaN_00263	0	0	3.965884	0
HaLaN_00267	0	0	56.372673	68.892113
HaLaN_00268	0	0	62.992489	91.330658
HaLaN_00269	27.328209	33.241898	27.03974	28.330154
HaLaN_00271	0	0	5.017721	2.415879
HaLaN_00281	0	0	0.342033	0.416963
HaLaN_00284	0	0	23.189915	29.883196
HaLaN_00285	0	0	21.813086	29.818258
HaLaN_00288	0	0	316.341736	256.822632
HaLaN_00289	0	0	364.199982	254.744308
HaLaN_00290	0	0	404.369385	265.574432
HaLaN_00291	0	0	318.633575	266.528564
HaLaN_00293	45.972027	0	21.785627	16.21447
HaLaN_00294	0	0	197.447723	163.776947
HaLaN_00295	0	0	499.36496	459.941772
HaLaN_00299	0	0	8.372895	5.588642
HaLaN_00300	0	0	12.785235	10.465357
HaLaN_00301	0	0	1.258358	4.192642
HaLaN_00305	0	0	4.99773	19.692822
HaLaN_00308	0	0	27.091488	16.031918
HaLaN_00310	0	0	0.854581	1.92149
HaLaN_00311	0	95.163269	72.376503	39.976315
HaLaN_00312	0	0	2.689962	3.640337
HaLaN_00316	0	49.356815	23.578527	21.345711
HaLaN_00324	336.164764	251.32077	355.17215	460.280243
HaLaN_00325	62.530861	29.187227	23.865801	33.504704
HaLaN_00328	0	0	4.215197	14.960779
HaLaN_00334	0	0	8.103452	0
HaLaN_00335	0	0	3.202765	0
HaLaN_00342	0	0	36.918171	0
HaLaN_00343	3640.375732	3051.82251	239.554596	221.845322
HaLaN_00344	115.987549	0	17.505938	10.883289
HaLaN_00353	0	0	0	1.609447
HaLaN_00356	0	140.762619	22.946039	36.243042
HaLaN_00357	0	4.188661	11.255708	16.282934
HaLaN_00358	0	0	24.251804	0
HaLaN_00363	0	0	18.853743	0
HaLaN_00364	0	144.748383	38.306252	43.800835
HaLaN_00366	0	31.324999	5.07363	0
HaLaN_00368	4850.178711	4783.061523	5602.18457	5843.75
HaLaN_00369	3305.940674	2753.984131	3804.812988	3947.999512
HaLaN_00370	0	0	32.63525	33.983715
HaLaN_00372	0	201.202072	233.226501	197.040115
HaLaN_00385	0	0	0.423898	0
HaLaN_00386	0	0	16.791069	0
HaLaN_00387	0	0	0.905149	3.064925
HaLaN_00388	0	0	0	2.344761
HaLaN_00391	0	0	0	0.469708
HaLaN_00392	0	0	0.174328	0
HaLaN_00395	0	0	2.563122	3.763464
HaLaN_00397	34.080719	15.232082	43.14336	40.671169
HaLaN_00400	0	0	5.793705	0
HaLaN_00402	0	0	43.6175	41.855106
HaLaN_00403	0	0	17.350618	17.968494
HaLaN_00407	0	0	11.64459	15.845513
HaLaN_00409	0	0	0	15.491143
HaLaN_00412	70.309212	126.234154	77.065735	92.718414
HaLaN_00415	0	232.571442	44.307827	108.501137
HaLaN_00417	0	0	27.343929	29.423063
HaLaN_00418	0	0	19.877386	20.656689
HaLaN_00419	0	0	6.555348	4.601301
HaLaN_00420	0	0	3.985062	0
HaLaN_00421	0	0	6.799156	0
HaLaN_00424	0	0	9.060625	7.2161
HaLaN_00426	145.197449	105.32988	0	0
HaLaN_00428	0	0	27.465158	32.5214
HaLaN_00429	0	0	0	36.771603
HaLaN_00430	0	18.651964	0	0
HaLaN_00431	0	0	4.712192	9.469022
HaLaN_00435	53.680531	74.579353	75.00338	72.120628
HaLaN_00440	0	19.948166	38.499687	39.477257
HaLaN_00441	0	0	0	15.522157
HaLaN_00442	0	0	29.080933	32.961235
HaLaN_00446	0	0	10.58624	12.968081
HaLaN_00447	0	0	17.092644	9.288557
HaLaN_00449	0	0	0	112.848915
HaLaN_00451	232.134659	352.78772	186.62326	166.321503
HaLaN_00452	0	22.308462	7.849997	8.205975
HaLaN_00457	0	0	2.583337	4.451341
HaLaN_00458	0	0	11.045281	14.407637
HaLaN_00462	50.825726	76.939964	76.316444	77.211617
HaLaN_00463	0	0	24.184111	17.854691
HaLaN_00464	0	226.072098	55.316296	35.005249
HaLaN_00465	0	0	25.578527	18.163843
HaLaN_00466	73.649139	39.381866	113.389771	84.427925
HaLaN_00467	0	0	37.426296	35.860043
HaLaN_00470	1657.468262	1738.092773	1872.694824	1788.564453
HaLaN_00471	820.489441	955.642273	706.355896	681.334595
HaLaN_00472	0	0	7.287236	6.866981
HaLaN_00473	0	20.91025	11.188706	5.520368
HaLaN_00474	0	0	13.774129	5.420432
HaLaN_00475	0	0	8.420986	13.551833
HaLaN_00476	0	0	19.898655	17.830818
HaLaN_00477	0	0	33.448067	21.431574
HaLaN_00479	502.161896	514.565369	145.868561	145.271378
HaLaN_00480	1.766992	3.267992	0.758209	1.049891
HaLaN_00481	0	138.010223	0	0
HaLaN_00482	44.219124	60.741787	8.265104	7.77543
HaLaN_00483	0	0	12.363421	6.496691
HaLaN_00485	0	0	133.879547	151.915665
HaLaN_00487	0	0	27.299196	23.599588
HaLaN_00488	0	9.611035	3.642197	0
HaLaN_00492	0	0	0	4.399867
HaLaN_00493	0	0	2.428674	2.727139
HaLaN_00495	393.27066	294.274048	551.024353	492.024292
HaLaN_00501	0	90.435257	0	0
HaLaN_00502	0	36.130829	0	0
HaLaN_00504	0	0	5.082994	4.703949
HaLaN_00505	0	0	2.481796	3.527459
HaLaN_00508	7170.345215	7614.065918	7825.674805	7312.335938
HaLaN_00509	0	0	5.816442	10.924734
HaLaN_00513	0	0	7.636767	5.331315
HaLaN_00514	0	0	6.830904	8.112586
HaLaN_00515	0	0	13.002276	16.942039
HaLaN_00516	0	0	12.324249	21.258997
HaLaN_00520	0	0	2.806062	0
HaLaN_00521	0	0	13.606312	11.395161
HaLaN_00522	0	0	34.801201	34.46896
HaLaN_00528	0	0	4.900467	0
HaLaN_00537	0	0	7.376334	5.988999
HaLaN_00541	0	0	3.106083	0
HaLaN_00544	0	0	5.817597	7.710117
HaLaN_00546	219.155731	244.990021	287.898895	323.532623
HaLaN_00547	0	123.150269	90.697113	124.893211
HaLaN_00551	3229.198242	4802.469238	8806.933594	11252.012695
HaLaN_00552	0	0	33.813351	35.582649
HaLaN_00553	0	89.442245	14.277782	15.322297
HaLaN_00554	0	0	23084	32.641628
HaLaN_00555	0	0	101.83831	73.600372
HaLaN_00556	0	0	76.219055	70.19545
HaLaN_00558	0	0	9.787615	13.1202
HaLaN_00559	0	0	12.827817	1.834139
HaLaN_00561	0	0	63.811012	68.766953
HaLaN_00562	130.601883	94.643303	112.104347	93.13208
HaLaN_00564	0	0	0	10.738786
HaLaN_00565	0	0	46.427654	95.648041
HaLaN_00567	29.309746	109.784195	73.510986	97.095245
HaLaN_00568	0	0	13.970936	10.564813
HaLaN_00569	0	0	5.984934	0
HaLaN_00570	0	0	4.623681	7.873427
HaLaN_00571	117.462288	84.716347	199.203583	146.421616
HaLaN_00572	28.900118	0	92.781609	94.802734
HaLaN_00573	0	0	152.931259	112.947365
HaLaN_00574	1189.071045	1449.215454	1131.777588	1110.491455
HaLaN_00575	273.827759	147.867035	180.026581	139.829605
HaLaN_00578	0	0	15.022554	13.539736
HaLaN_00581	0	0	10.869248	0
HaLaN_00585	0	0	3.144159	2.317505
HaLaN_00586	0	0	0.704601	0
HaLaN_00587	0	0	13.197019	20.27886
HaLaN_00588	0	0	1.758497	5.60557
HaLaN_00593	0	0	4.737479	0
HaLaN_00594	438.513824	648.616272	298.95224	260.057922
HaLaN_00595	0	0	29.883835	32.934868
HaLaN_00596	0	0	73.390968	91.279213
HaLaN_00597	0	0	11.954304	10.424376
HaLaN_00599	0	0	21.620424	26.861088
HaLaN_00602	0	157.200409	0	0
HaLaN_00609	0	34.394016	18.05175	26.31682
HaLaN_00612	0	0	5.079955	12.156761
HaLaN_00614	0	0	13.716179	14.085698
HaLaN_00620	0	0	25.857597	36.486549
HaLaN_00621	0	0	7.059047	7.523921
HaLaN_00622	0	0	0.673747	0
HaLaN_00624	0	0	0.86878	0
HaLaN_00627	22.072754	11.606664	6.411325	16.088932
HaLaN_00628	113.938148	139.637482	105.821121	83.053528
HaLaN_00629	46.951656	129.012024	43.3246	38.630993
HaLaN_00632	0	0	2.221396	2.223065
HaLaN_00637	0	0	0	6.61762
HaLaN_00645	0	0	8.281146	0
HaLaN_00647	0	0	4.494148	5.510542
HaLaN_00648	0	0	1.378919	3.483411
HaLaN_00651	0	0	2.47858	0
HaLaN_00657	39.639042	0	0	3.241922
HaLaN_00659	0	0	4.29015	0
HaLaN_00660	0	0	9.381416	6.133933
HaLaN_00661	0	0	0	11.257372
HaLaN_00667	7.794963	0	3.970346	10.431796
HaLaN_00668	0	0	2.699441	4.266012
HaLaN_00670	0	0	0	1.401995
HaLaN_00673	75.822601	0	38.726948	18.864489
HaLaN_00674	0	0	8.251262	10.945718
HaLaN_00684	29.641371	26.178625	0	0
HaLaN_00686	0	28.076372	29.841129	24.82131
HaLaN_00692	0	0	14.947483	21.310108
HaLaN_00693	0	0	6.824261	6.283793
HaLaN_00694	0	0	2.795209	4.502948
HaLaN_00699	39.27832	0	12.017781	5.933381
HaLaN_00700	0	0	0	1.866973
HaLaN_00701	0	0	88.248245	51.287498
HaLaN_00703	38.252384	44.267651	93.718895	78.890732
HaLaN_00704	137.606354	118.944168	140.642715	191.779968
HaLaN_00708	0	0	43.667679	34.137753
HaLaN_00709	0	0	25.267721	21.704838
HaLaN_00710	0	0	16.532389	11.332167
HaLaN_00712	0	0	5.092312	9.915288
HaLaN_00718	3.068786	8.32335	4.118204	6.635567
HaLaN_00719	110.413406	87.183655	76.332329	76.67099
HaLaN_00721	0	0	120.59967	107.757263
HaLaN_00723	0	3.37685	12.700183	0
HaLaN_00726	0	0	3.304924	0
HaLaN_00733	0	0	3.105257	4.894659
HaLaN_00737	51.552246	0	32.956604	28.879065
HaLaN_00743	376.046173	266.896362	232.96347	252.956161
HaLaN_00749	0	0	8.896649	16.865192
HaLaN_00751	41.862385	0	5.9339	8.200141
HaLaN_00752	0	0	31.454628	37.534523
HaLaN_00753	0	0	54.736435	63.27673
HaLaN_00754	0	0	50.683796	32.994976
HaLaN_00755	106.163574	47.761688	54.842403	47.601158
HaLaN_00756	0	0	39.75029	26.807066
HaLaN_00757	134.572235	95.769463	3.887045	4.195483
HaLaN_00758	158.24437	0	0	0
HaLaN_00759	0	0	27.474201	38.005371
HaLaN_00760	0	0	8.204452	12.779226
HaLaN_00761	429.153992	323.526581	85.965042	113.968964
HaLaN_00763	71.521599	0	160.845474	155.917953
HaLaN_00770	0	0	553.880615	450.450653
HaLaN_00777	0	0	6.03408	0
HaLaN_00778	3.980925	1.83805	5.622572	5.272683
HaLaN_00779	0	36.047527	0	9.654428
HaLaN_00780	110.062355	0	11.195632	5.498938
HaLaN_00783	0	0	162.288315	152.697296
HaLaN_00786	0	0	4.148985	4.060311
HaLaN_00789	0	19.941195	5.253535	7.540004
HaLaN_00790	0	0	67.938698	0
HaLaN_00792	0	0	20.567312	16.5884
HaLaN_00795	0	0	6.210456	7.595547
HaLaN_00797	0	0	13.976861	21.23818
HaLaN_00798	0	0	7.624163	3.456765
HaLaN_00801	0	0	0	2.360897
HaLaN_00803	20.788673	0	27.058167	28.071615
HaLaN_00804	0	0	110.368034	100.496529
HaLaN_00807	0	0	5.699465	5.446368
HaLaN_00808	19.323578	0	24.809561	33.290367
HaLaN_00812	0	0	68.93	120.540924
HaLaN_00813	0	0	22.512758	46.854904
HaLaN_00814	0	0	54.742065	67.638023
HaLaN_00819	655.605896	657.15741	766.759399	672.219666
HaLaN_00820	0	0	91.758255	95.089767
HaLaN_00824	0	0	7.988866	17.147093
HaLaN_00826	63.304375	0	35.99279	24.568079
HaLaN_00830	0	0	16.535479	28.109545
HaLaN_00835	0	0	0	5.038068
HaLaN_00838	0	0	10.701404	23.531353
HaLaN_00839	0	0	37.278046	30.945049
HaLaN_00844	0	0	103.53891	92.105347
HaLaN_00847	330.402832	322.5047	321.104919	310.02356
HaLaN_00849	0	0	12.312254	10.706872
HaLaN_00850	20.649225	0	14.889359	10.61913
HaLaN_00851	67.038254	58.098064	96.272942	73.130829
HaLaN_00852	42.623207	47.353783	147.295868	112.511078
HaLaN_00855	4825.412109	3068.436768	3442.099854	3466.21875
HaLaN_00856	0	0	20.382521	11.625641
HaLaN_00857	0	0	130.385818	121.051163
HaLaN_00858	32.854359	0	23.55603	33.123707
HaLaN_00859	0	0	6.999691	0
HaLaN_00861	0	0	9.590781	13.767096
HaLaN_00862	0	0	3.132271	6.587838
HaLaN_00865	0	0	1.133126	0
HaLaN_00868	0	67.685692	21.630777	29.967199
HaLaN_00872	182.222687	269.113312	613.942688	432.926086
HaLaN_00873	358.856354	455.731659	41.674286	44.173958
HaLaN_00877	0	0	39.870132	0
